url,snippet
https://vimeo.com/privacy," … corners_\u0026]:rounded-3xl\"",\""children\"":[[\""$\"",\""div\"",null,{\""className\"":\""px-5 *:my-4\"",\""children\"":[false,false,false]}],[\""$\"",\""$L37\"",null … "
https://vimeo.com/privacy, … default:data-[state=open]:text-primary links-default:tint:hover:text-tint-strong links-default:tint:data-[state … 
https://vimeo.com/privacy," … at \""}]]}],\""$L49\"",[\""$\"",\""$3\"",\""jVbQY2STP1Hx\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\"".\""}]]}]]}],[\""$\"",\""h3\"",\""gpC0ThijmmTX\"",{\""id\"":\""id-3.-data-we-collect-about-you … "
https://vimeo.com/privacy,"Data We Collect About You\""}]]}]]}]]}],[\""$\"",\""p\"",\""1vW4D7HHUjlD\"",{\""className\"":\""mx-auto page-width-wide:mx-0 w-full decoration … "
https://vimeo.com/privacy,"We refer to your information as \""}],[\""$\"",\""$3\"",\""1\"",{\""children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""\\\""your data\\\""\""}]}],[\""$\"",\""$3 … "
https://vimeo.com/privacy," … children\"":\""If you use Vimeo AI to translate the audio track of your video, we collect data about … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""nJELbNDZK8IA\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""You may submit data to us for limited … "
https://vimeo.com/privacy," … self-start\"",\""children\"":[[\""$\"",\""$3\"",\""5SMwhGJxMhxg\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We automatically collect certain types of data when you … "
https://vimeo.com/privacy," … self-start\"",\""children\"":[[\""$\"",\""$3\"",\""F6tlXeTk5mRC\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""Some third parties may collect data about you when … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""5j4JGOD1kdHM\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We may obtain data from third parties about … "
https://vimeo.com/privacy," … 6 pr-2\"",\""children\"":[\""$\"",\""a\"",null,{\""href\"":\""#id-4.-how-we-use-your-data\"",\""aria-label\"":\""Direct link … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""yd8bOaGWrS0Y\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We may use your data for the following … "
https://vimeo.com/privacy," … children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Operating our services:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We use your data to … "
https://vimeo.com/privacy," … children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Communicating with you:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We use your data when … "
https://vimeo.com/privacy,"\""className\"":\""font-bold\"",\""children\"":\""Improving our services:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We use your data to understand how our … "
https://vimeo.com/privacy," … children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""Marketing and advertising:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" We use your data to … "
